timestamp_ms,frame_id,is_valid,lateral_deviation,yaw_angle,curvature_0,curvature_1,curvature_2,curvature_3,velocity,prev_steering,expert_steering,servo_command,lane_width_px
1775441652605,54,1,-0.00774003,-0.0610378,0.0192246,0.0192229,0.0192211,0.0192193,0.04,2.18734,2.18734,100,352.772
1775441652726,55,1,-0.00764237,-0.0615804,0.0168053,0.0168039,0.0168025,0.0168011,0.04,2.18734,2.19488,100,352.739
1775441652845,56,1,-0.00762772,-0.0616782,0.0156742,0.015673,0.0156718,0.0156706,0.04,2.19488,2.19634,100,352.755
1775441652972,57,1,-0.00716376,-0.0635079,0.0107292,0.0107286,0.010728,0.0107274,0.04,2.19634,2.21298,100,352.686
1775441653102,58,1,-0.00769548,-0.0612171,0.0190879,0.0190862,0.0190844,0.0190826,0.04,2.21298,2.1891,100,352.735
1775441653222,59,1,-0.0074724,-0.0619049,0.015233,0.0152319,0.0152307,0.0152296,0.04,2.1891,2.19167,100,352.703
1775441653381,60,1,-0.00774003,-0.0610378,0.0192246,0.0192229,0.0192211,0.0192193,0.04,2.19167,2.18734,100,352.945
1775441653491,61,1,-0.00774003,-0.0610378,0.0192246,0.0192229,0.0192211,0.0192193,0.04,2.18734,2.18734,100,352.604
1775441653625,62,1,-0.00774003,-0.0610378,0.0192246,0.0192229,0.0192211,0.0192193,0.04,2.18734,2.18734,100,352.744
1775441653751,63,1,-0.00736561,-0.0629837,0.0103312,0.0103307,0.0103301,0.0103296,0.04,2.18734,2.21268,100,352.785
1775441653897,64,1,-0.00764237,-0.0615804,0.0168053,0.0168039,0.0168025,0.0168011,0.04,2.21268,2.19489,100,352.88
1775441654015,65,1,-0.00827547,-0.0592093,0.0249869,0.024984,0.0249811,0.0249781,0.04,2.19489,2.17579,100,353.4
1775441654138,66,1,-0.00763385,-0.0593769,0.0221548,0.0221525,0.0221502,0.0221478,0.04,2.17579,2.13559,100,353.216
1775441654297,67,1,-0.00717551,-0.0624778,0.0164931,0.0164918,0.0164905,0.0164891,0.04,2.13559,2.18685,100,352.231
1775441654423,68,1,-0.00407562,-0.0612623,0.0211383,0.0211361,0.0211339,0.0211317,0.04,2.18685,1.94077,99,352.586
1775441654568,69,1,0.0042797,-0.0565528,0.0349846,0.0349791,0.0349736,0.0349679,0.04,1.94077,1.2389,98,349.339
